job_title,company_name,company_location,workplace_type,post_date,applicants,job_type,experience,company_size,industry
Data Scientist (m/f/d) Statistical Forecast,Kärcher, Baden-Württemberg,On-site,1 month ago,11,Full-time , Entry level,large, Industrial Machinery Manufacturing
Spezialist Datenanalyse Halbleiter (w/m/x),BMW Group, Bavaria,On-site,1 month ago,4,Full-time , Mid-Senior level,large, Motor Vehicle Manufacturing
Thesis (Master) Natural Language Processing (m/w/d),Exxeta, Berlin,On-site,1 week ago,13,Full-time , Internship,large, Information Technology & Services
Generative AI Intern,ZAUBAR, Berlin,Hybrid,3 days ago,37,Full-time , Internship,small, IT Services and IT Consulting
Data Scientist (m/w/d) Statistical Forecast,Kärcher, Baden-Württemberg,On-site,1 month ago,5,Full-time , Entry level,large, Industrial Machinery Manufacturing
Werkstudent Datenanalyse (m/w/d),SPITZKE SE, Brandenburg,On-site,2 days ago,0,Full-time , Internship,large, Construction
Thesis (Master) Natural Language Processing (m/w/d),Exxeta, Baden-Württemberg,On-site,4 days ago,5,Full-time , Internship,large, Information Technology & Services
Stud. Beschäftigte*r (m/w/d) (462-1903),Freie Universität Berlin, Berlin,On-site,1 month ago,0,Full-time , Entry level,large, Research Services
Working Student Data Analytics (m/f/d),AutoScout24, Bavaria,On-site,1 week ago,114,Part-time , Internship,medium," Technology, Information and Internet"
Thesis (Master) Reinforcement Learning (m/w/d),Exxeta, Berlin,On-site,1 week ago,5,Full-time , Internship,large, Information Technology & Services
Data Scientist (m/f/d) Supply Chain Management,Kärcher, Baden-Württemberg,On-site,1 month ago,8,Full-time , Entry level,large, Industrial Machinery Manufacturing
Data Scientist (f/m/d),Aignostics, Berlin,On-site,6 days ago,0,Full-time , Entry level,medium, IT Services and IT Consulting
Dualer Student Data Science (w/m/x),BMW Group, Bavaria,Hybrid,1 month ago,19,Internship , Internship,large, Motor Vehicle Manufacturing
Data Science Interns,CONXAI, Bavaria,On-site,1 week ago,153,Internship , Internship,small, Software Development
Werkstudent Data Analysis / Controlling (m/w/d),Nordex Group, Hamburg,On-site,3 weeks ago,13,Full-time , Entry level,large, Renewable Energy Semiconductor Manufacturing
Werkstudent Data Analysis / Controlling (m/w/d),Nordex Group, Hamburg,On-site,3 weeks ago,18,Full-time , Entry level,large, Renewable Energy Semiconductor Manufacturing
Data Science & Analytics Specialist (f/m/x),BMW Group, Bavaria,On-site,1 month ago,102,Full-time , Entry level,large, Motor Vehicle Manufacturing
