job_title,company_name,company_location,workplace_type,post_date,applicants,jobtype_experience,company_size_industry
Werkstudent (m/w/d) im Bereich Datenanalyse,dhpg,"Cologne, North Rhine-Westphalia, Germany",Hybrid,2 weeks ago,3 applicants,Internship,"501-1,000 employees · Business Consulting and Services"
Data Scientist (m/f/d) Statistical Forecast,Kärcher,"Obersontheim, Baden-Württemberg, Germany",On-site,1 month ago,11 applicants,Full-time · Entry level,"10,001+ employees · Industrial Machinery Manufacturing"
Spezialist Datenanalyse Halbleiter (w/m/x),BMW Group,"München, Bavaria, Germany",On-site,1 month ago,4 applicants,Full-time · Mid-Senior level,"10,001+ employees · Motor Vehicle Manufacturing"
Thesis (Master) Natural Language Processing (m/w/d),Exxeta,"Berlin, Berlin, Germany",On-site,1 week ago,13 applicants,Full-time · Internship,"1,001-5,000 employees · Information Technology & Services"
Generative AI Intern,ZAUBAR,"Berlin, Berlin, Germany",Hybrid,3 days ago,37 applicants,Full-time · Internship,11-50 employees · IT Services and IT Consulting
Data Scientist (m/w/d) Statistical Forecast,Kärcher,"Obersontheim, Baden-Württemberg, Germany",On-site,1 month ago,5 applicants,Full-time · Entry level,"10,001+ employees · Industrial Machinery Manufacturing"
Werkstudent Datenanalyse (m/w/d),SPITZKE SE,"Grossbeeren, Brandenburg, Germany",On-site,2 days ago,,Full-time · Internship,"1,001-5,000 employees · Construction"
Thesis (Master) Natural Language Processing (m/w/d),Exxeta,"Mannheim, Baden-Württemberg, Germany",On-site,4 days ago,5 applicants,Full-time · Internship,"1,001-5,000 employees · Information Technology & Services"
Stud. Beschäftigte*r (m/w/d) (462-1903),Freie Universität Berlin,"Berlin, Berlin, Germany",On-site,1 month ago,,Full-time · Entry level,"1,001-5,000 employees · Research Services"
Working Student Data Analytics (m/f/d),AutoScout24,"Munich, Bavaria, Germany",On-site,1 week ago,114 applicants,Part-time · Internship,"501-1,000 employees · Technology, Information and Internet"
Thesis (Master) Reinforcement Learning (m/w/d),Exxeta,"Berlin, Berlin, Germany",On-site,1 week ago,5 applicants,Full-time · Internship,"1,001-5,000 employees · Information Technology & Services"
Data Scientist (m/f/d) Supply Chain Management,Kärcher,"Obersontheim, Baden-Württemberg, Germany",On-site,1 month ago,8 applicants,Full-time · Entry level,"10,001+ employees · Industrial Machinery Manufacturing"
Data Scientist (f/m/d),Aignostics,"Berlin, Berlin, Germany",On-site,6 days ago,,Full-time · Entry level,51-200 employees · IT Services and IT Consulting
Dualer Student Data Science (w/m/x),BMW Group,"München, Bavaria, Germany",Hybrid,1 month ago,19 applicants,Internship · Internship,"10,001+ employees · Motor Vehicle Manufacturing"
Data Science Interns,CONXAI,"Munich, Bavaria, Germany",On-site,1 week ago,153 applicants,Internship · Internship,11-50 employees · Software Development
Werkstudent Data Analysis / Controlling (m/w/d),Nordex Group,"Hamburg, Hamburg, Germany",On-site,3 weeks ago,13 applicants,Full-time · Entry level,"5,001-10,000 employees · Renewable Energy Semiconductor Manufacturing"
Werkstudent Data Analysis / Controlling (m/w/d),Nordex Group,"Hamburg, Hamburg, Germany",On-site,3 weeks ago,18 applicants,Full-time · Entry level,"5,001-10,000 employees · Renewable Energy Semiconductor Manufacturing"
Spezialist (m/w/d) für künstliche Intelligenz (KI / AI) im Bereich Bildverarbeitung,wenglor MEL GmbH,"Eching, Bavaria, Germany",On-site,1 month ago,,Full-time · Mid-Senior level,See recent hiring trends for wenglor MEL GmbH. Try Premium for free
Data Science & Analytics Specialist (f/m/x),BMW Group,"München, Bavaria, Germany",On-site,1 month ago,102 applicants,Full-time · Entry level,"10,001+ employees · Motor Vehicle Manufacturing"
Research Associate / PhD Student (m/f/x),Technische Universität Dresden,"Dresden, Saxony, Germany",On-site,1 month ago,27 applicants,Part-time · Internship,"10,001+ employees · Research"
Daten- und Prozessanalyst (w/m/d),freenet AG,"Hamburg, Hamburg, Germany",On-site,2 months ago,1 applicant,Full-time · Mid-Senior level,"1,001-5,000 employees · Telecommunications"
Trainee Data Scientist (m/w/d),Stadtsparkasse Düsseldorf,"Düsseldorf, North Rhine-Westphalia, Germany",On-site,1 week ago,10 applicants,Full-time · Internship,"1,001-5,000 employees · Banking"
Intern in the area of Data Science (f/m/d),BMW Group,"München, Bavaria, Germany",On-site,3 weeks ago,,Internship · Internship,"10,001+ employees · Motor Vehicle Manufacturing"
Trainee Data Scientist (m/w/d),taod Consulting GmbH,"Cologne, North Rhine-Westphalia, Germany",Hybrid,2 weeks ago,31 applicants,Full-time · Entry level,11-50 employees · Business Consulting and Services
Masterand im Bereich Data Science - EoL für Leistungselektronik (w/m/x),BMW Group,"Dingolfing, Bavaria, Germany",Hybrid,3 weeks ago,2 applicants,Full-time · Internship,"10,001+ employees · Motor Vehicle Manufacturing"
Dualer Student Data Science (w/m/x),BMW Group,"Dingolfing, Bavaria, Germany",Hybrid,1 month ago,6 applicants,Internship · Internship,"10,001+ employees · Motor Vehicle Manufacturing"
studentische Beschäftigung mit 40 Monatsstunden (Kennziffer QW_MIQFEM_23-03),Technische Universität Berlin,"Berlin, Berlin, Germany",On-site,3 weeks ago,2 applicants,Internship,"10,001+ employees · Education Administration Programs"
Spezialist (m/w/d) für künstliche Intelligenz (KI / AI) im Bereich Bildverarbeitung,wenglor MEL GmbH - Tettnang,"Tettnang, Baden-Württemberg, Germany",On-site,1 month ago,1 applicant,Full-time · Mid-Senior level,See recent hiring trends for wenglor MEL GmbH - Tettnang. Try Premium for free
Working Student AI (m/w/d),FinLink GmbH,"München, Bavaria, Germany",Hybrid,1 day ago,33 applicants,Internship · Internship,11-50 employees · Financial Services
Research assistant (postdoc) (m/f/d) full-time job limited to 3 years Entgeltgruppe 13 TV-L FU reference code: WiMi_Insuring_modern_societies,Freie Universität Berlin,"Berlin, Berlin, Germany",On-site,2 days ago,9 applicants,Full-time · Entry level,"1,001-5,000 employees · Research Services"
Audit Data Scientist (m/w/d),MVV Energie AG,"Mannheim, Baden-Württemberg, Germany",On-site,2 weeks ago,1 applicant,Full-time · Mid-Senior level,"5,001-10,000 employees · Utilities"
Data Scientist (m/w/d),creditshelf Aktiengesellschaft,"Frankfurt am Main, Hesse, Germany",On-site,4 weeks ago,2 applicants,Full-time · Mid-Senior level,51-200 employees · Financial Services
Two Postdoctoral positions (f/m/d) in Molecular Biology/Biotechnology/Bioengineering/Bioinformatics (m/w/d),Universitätsklinikum Würzburg,"Würzburg, Bavaria, Germany",On-site,6 days ago,11 applicants,Full-time · Entry level,"5,001-10,000 employees · Hospitals and Health Care"
Thesis (Master) Reinforcement Learning (m/w/d),Exxeta,"Mannheim, Baden-Württemberg, Germany",On-site,1 week ago,6 applicants,Full-time · Internship,"1,001-5,000 employees · Information Technology & Services"
Studentische Aushilfe – Strukturierte Datenerhebung für KI-Forschungsprojekte,Universitätsklinikum Frankfurt am Main,"Frankfurt, Hesse, Germany",On-site,2 weeks ago,,Internship,"5,001-10,000 employees · Hospitals and Health Care"
Data Science Assistant / Junior Data Scientist (w/m/d),prognostica GmbH,"Würzburg, Bavaria, Germany",Hybrid,2 weeks ago,63 applicants,Full-time · Entry level,11-50 employees · IT Services and IT Consulting
"Masterand:in (m/w/d) im Bereich Data Science, Prozesssimulation oder -optimierung",Eggersmann Gruppe GmbH & Co. KG,"Aachen, North Rhine-Westphalia, Germany",On-site,1 week ago,4 applicants,Part-time · Internship,"501-1,000 employees · Industrial Machinery Manufacturing"
